query,response,category,symptom,condition,response_type,timestamp
I have palpitations. Should I be concerned?,"In coronary artery disease, patients often experience palpitations due to structural abnormalities. Medical approaches include lifestyle modifications.",Cardiovascular,palpitations,coronary artery disease,information,2025-03-27T09:56:18.115734
I've been experiencing wheezing for a few hours. What could this be?,"In chronic bronchitis, patients often experience wheezing due to vascular compromise. Medical approaches include stress reduction.",Respiratory,wheezing,chronic bronchitis,information,2024-06-15T09:56:18.115734
"For the past two weeks, I've had shortness of breath. Is this serious?","Your symptoms of shortness of breath for two weeks could suggest arrhythmia, but other causes should be ruled out by a healthcare provider.",Cardiovascular,shortness of breath,arrhythmia,diagnosis,2024-10-11T09:56:18.115734
I've noticed joint pain recently. What could be wrong?,tendinitis affects the reproductive system and commonly presents with joint pain. Management includes dietary changes.,Musculoskeletal,joint pain,tendinitis,information,2024-04-17T09:56:18.115734
I have shortness of breath. Should I be concerned?,"To manage shortness of breath, consider ensure adequate sleep. However, if the condition worsens, seek medical attention.",Cardiovascular,shortness of breath,heart failure,advice,2024-10-13T09:56:18.115734
I'm concerned about joint pain that won't go away. Any advice?,"Your symptoms of joint pain for two days could suggest bursitis, but other causes should be ruled out by a healthcare provider.",Musculoskeletal,joint pain,bursitis,diagnosis,2024-04-27T09:56:18.115734
I've noticed shortness of breath recently. What could be wrong?,"shortness of breath can be associated with several conditions including hypertension. However, proper diagnosis requires medical evaluation.",Cardiovascular,shortness of breath,hypertension,diagnosis,2024-09-22T09:56:18.115734
What are the common treatments for peptic ulcer?,"Many people with vomiting find relief by monitor symptoms and seek medical attention if they worsen, but this doesn't replace professional medical care.",Gastrointestinal,vomiting,peptic ulcer,advice,2024-10-09T09:56:18.115734
I'm concerned about constipation that won't go away. Any advice?,"While constipation is commonly seen in Crohn's disease, only a medical professional can provide a proper diagnosis after examination.",Gastrointestinal,constipation,Crohn's disease,diagnosis,2024-09-27T09:56:18.115734
"My doctor mentioned bipolar disorder, but I don't understand what it means. Can you explain?","Many people with behavioral changes find relief by avoid strenuous activities until symptoms improve, but this doesn't replace professional medical care.",Psychiatric,behavioral changes,bipolar disorder,advice,2025-01-22T09:56:18.115734
What are the common treatments for valve disease?,valve disease affects the nervous system and commonly presents with palpitations. Management includes combination approaches tailored to individual needs.,Cardiovascular,palpitations,valve disease,information,2024-10-03T09:56:18.115734
My hand has been hurting for two weeks. What might be causing this?,"Your symptoms of swollen lymph nodes for two weeks could suggest influenza, but other causes should be ruled out by a healthcare provider.",Infectious,swollen lymph nodes,influenza,diagnosis,2024-06-26T09:56:18.115734
I have chest tightness. Should I be concerned?,asthma is a respiratory condition characterized by chest tightness. Treatment typically involves specialized therapies.,Respiratory,chest tightness,asthma,information,2024-12-25T09:56:18.115734
Are there any home remedies for numbness?,"For numbness, it's advisable to use a heating pad for comfort. If symptoms persist, please consult a healthcare provider.",Neurological,numbness,Parkinson's disease,advice,2025-04-02T09:56:18.115734
How long does chills typically last with gastroenteritis?,"In gastroenteritis, patients often experience chills due to inflammation. Medical approaches include surgical intervention in severe cases.",Infectious,chills,gastroenteritis,information,2024-10-25T09:56:18.115734
I have chills. Should I be concerned?,"While chills is commonly seen in urinary tract infection, only a medical professional can provide a proper diagnosis after examination.",Infectious,chills,urinary tract infection,diagnosis,2024-08-13T09:56:18.115734
